date,metric,suburb_value,cr_value,sa3_value,area_name,property_type
2006-12-31,sell_price,349000.0,466000.0,359000.0,Belmont North,unit
2007-01-31,sell_price,347000.0,476000.0,387000.0,Belmont North,unit
2007-01-31,sell_price,360000.0,356000.0,364000.0,Belmont North,house
2007-02-28,sell_price,340000.0,547000.0,599000.0,Belmont North,unit
2007-02-28,sell_price,359000.0,357000.0,365000.0,Belmont North,house
2007-03-31,sell_price,348000.0,357000.0,365000.0,Belmont North,house
2007-03-31,sell_price,339000.0,543000.0,601000.0,Belmont North,unit
2007-04-30,sell_price,354000.0,358000.0,367000.0,Belmont North,house
2007-04-30,sell_price,339000.0,486000.0,573000.0,Belmont North,unit
2007-05-31,sell_price,344000.0,360000.0,366000.0,Belmont North,house
2007-05-31,sell_price,348000.0,478000.0,569000.0,Belmont North,unit
2007-06-30,sell_price,348000.0,477000.0,568000.0,Belmont North,unit
2007-06-30,sell_price,345000.0,360000.0,366000.0,Belmont North,house
2007-07-31,sell_price,350000.0,361000.0,367000.0,Belmont North,house
2007-07-31,sell_price,352000.0,481000.0,574000.0,Belmont North,unit
2007-08-31,sell_price,352000.0,481000.0,571000.0,Belmont North,unit
2007-08-31,sell_price,342000.0,362000.0,372000.0,Belmont North,house
2007-09-30,sell_price,355000.0,483000.0,571000.0,Belmont North,unit
2007-09-30,sell_price,337000.0,362000.0,375000.0,Belmont North,house
2007-10-31,sell_price,355000.0,483000.0,573000.0,Belmont North,unit
2007-10-31,sell_price,346000.0,363000.0,376000.0,Belmont North,house
2007-11-30,sell_price,346000.0,364000.0,377000.0,Belmont North,house
2007-11-30,sell_price,355000.0,480000.0,560000.0,Belmont North,unit
2007-12-31,sell_price,338000.0,366000.0,378000.0,Belmont North,house
2007-12-31,sell_price,355000.0,481000.0,563000.0,Belmont North,unit
2008-01-31,sell_price,355000.0,482000.0,567000.0,Belmont North,unit
2008-01-31,sell_price,330000.0,367000.0,378000.0,Belmont North,house
